level,question,answer
00.1,Suppose 2056 = 5*v + 8056. What is v rounded to the nearest one hundred?,-1200
0.1,Let x(p) = p**3 + 4*p**2 - p. Calculate the lowest common multiple of x(-3) and 20.,60
0.1,Let d = -10611047.200061 + 10611036. Let q = -11.2 - d. What is q rounded to five decimal places?,0.00006
0.1,"Let i(p) be the first derivative of -2*p - 1 - 1/2*p**2. Let y be i(-4). Solve -b + 5*b + 8 = -y*n, 0 = -3*b - 3*n for b.",-4
0.1,What is the units digit of 738?,8
0.1,Suppose 0 = -h + 4*h + 15. Let p(v) = -v - 1. Let q(a) = a**2 + 10*a + 11. Let n(i) = -4*p(i) - q(i). Give n(h).,-2
0.1,"Let n = 0 - -9. Suppose -2*h + n = -31. Let t be (-2)/(-10) + 76/h. Solve -c + 2*c - t*z = 0, 3*z = 2*c - 5 for c.",4
0.1,What is the units digit of 8783?,3
0.1,Let g be -3 + ((-2)/1)/(-2*1). Which is greater: -5/6 or g?,-5/6
0.1,Which is the second smallest value?  (a) -0.7  (b) -0.3  (c) 0.01,b
0.1,Evaluate (5/(-7))/(288/(-42) + 6).,5/6
0.1,"Three letters picked without replacement from xpqdwdqdxwpwxp. Give prob of picking 1 q, 1 x and 1 p.",9/182
0.1,Let x = -84 + 84.0872. Round x to two decimal places.,0.09
0.1,Suppose -o = -4*o + 66. Let d = -4 - -26. Calculate the highest common divisor of d and o.,22
0.1,"Suppose -3*s + 3*c + 15 = 0, -7*c + 24 = 5*s - 11*c. Let y = 1 + 1. Solve -3*h + s*p - p - 12 = 0, y*p = -2*h - 8 for h.",-4
0.1,What is the square root of 16764 to the nearest integer?,129
0.1,What is 21/5 of a gram in milligrams?,4200
0.1,(8/6)/4*(-12)/4,-1
0.1,"What comes next: -72, -82, -102, -132, -172, -222?",-282
0.1,"Suppose -5*q + 3*p + 17 = 0, q - p - 3 = -0*p. Let k = 6 - q. Differentiate 0 - y - k + 4 wrt y.",-1
0.1,"What is the second biggest value in 32, 0.4, 4?",4
0.1,Let u(j) = -j. Let l(s) = 2*s**4 + 5*s + 22. Let n(o) = -l(o) - 5*u(o). What is the derivative of n(i) wrt i?,-8*i**3
0.1,Two letters picked without replacement from cvvcvmicmjvjvvmcc. What is prob of picking 1 m and 1 i?,3/136
0.1,Which is the smallest value?  (a) 0.3  (b) 3  (c) -0.5  (d) -1.9,d
0.1,Calculate the remainder when 669 is divided by 8.,5
0.1,"Suppose 2*j = -4*k + 6, -k - 18 = -3*k - 4*j. Let q be (-7)/2*69/966. Is k equal to q?",False
0.1,Collect the terms in -12*h**3 + 59*h - 59*h.,-12*h**3
0.1,Is 140345 a prime number?,False
0.1,Let p = 20 + -10. What is the smallest common multiple of p and 18?,90
0.1,What is the remainder when 26 is divided by 15?,11
0.1,What is the thousands digit of 13203?,3
0.1,What is the remainder when 185 is divided by 65?,55
0.1,Is 123169 a prime number?,True
0.1,"In base 7, what is 5 - 2543?",-2535
0.1,What is the remainder when 1174 is divided by 84?,82
0.1,Convert 2617.5015 months to millennia.,0.218125125
0.1,Which is the fourth smallest value?  (a) -0.2  (b) -1/13  (c) 6  (d) -0.1,c
0.1,Suppose 2*u = u + 3. Suppose 0 = -u*g - 2 + 14. Is g not equal to 8/3?,True
0.1,Is 5669 prime?,True
0.1,"In base 2, what is 100011101 + -11?",100011010
0.1,Collect the terms in -5*n + 6*n - 26 + 26.,n
0.1,"Calculate prob of picking 1 g and 2 b when three letters picked without replacement from {b: 3, g: 2}.",3/5
0.1,"In base 8, what is 1 + 36?",37
0.1,"What is 5279 to the power of 1/2, to the nearest integer?",73
0.1,Let i = -0.38 + -1.72. What is i rounded to one decimal place?,-2.1
0.1,"Two letters picked without replacement from {d: 7, f: 2}. Give prob of picking 1 f and 1 d.",7/18
0.1,Let z be 128/(-48)*6/(-1). Calculate the highest common divisor of z and 144.,16
0.1,What is the hundreds digit of 7438?,4
0.1,Let t(l) = 14*l**3 - 12*l + 4. Let q(w) = w - 1. Let i(b) = 4*q(b) + t(b). What is the second derivative of i(n) wrt n?,84*n
0.1,Let y be (-12)/8*(7148 + -2). Let h = y - -2719. Round h to the nearest one thousand.,-8000
0.1,Calculate (0 - 2)*4*5/80.,-1/2
0.1,"Three letters picked without replacement from {w: 2, e: 1, d: 1}. Give prob of picking 2 w and 1 e.",1/4
0.1,Which is the smallest value?  (a) -1/5  (b) 1/4  (c) -0.01,a
0.1,Calculate the remainder when 354 is divided by 73.,62
0.1,"What comes next: -118, -112, -94, -58, 2?",92
0.1,Evaluate (-184)/(-92)*(27/2)/3.,9
0.1,Which is the third smallest value?  (a) -2  (b) 3/4  (c) 112  (d) 5,d
0.1,"In base 11, what is 0 - 8?",-8
0.1,Let o(q) = -q**3 + 8*q**2 - 7*q - 1. Suppose 0 = -2*r + 9 + 1. Let m be o(r). What is the highest common divisor of m and 13?,13
0.1,What is the remainder when 37 is divided by 26?,11
0.1,What is the value of 0 + (2 - 1) + (-315)/441?,2/7
0.1,"What is prob of picking 1 w, 1 z and 1 s when three letters picked without replacement from zqskqkwwswzsk?",9/143
0.1,Let j = -0.065 - -0.0578. Round j to three decimal places.,-0.007
0.1,"What is the next term in -403, -417, -433, -451, -471, -493, -517?",-543
0.1,"In base 15, what is 15c - 6?",156
0.1,"In base 11, what is -6 + 594?",589
0.1,Let y(z) = 4*z**2 + 2 - 10*z + z**2 + 8*z**2 - 12*z**2. Give y(10).,2
0.1,What is the hundreds digit of 1275?,2
0.1,What is the remainder when 363 is divided by 59?,9
0.1,Calculate the remainder when 396 is divided by 100.,96
0.1,Solve 0*r = -r for r.,0
0.1,What is 3/10 of a microsecond in nanoseconds?,300
0.1,"What comes next: 39, 25, 13, 3, -5?",-11
0.1,Let u(t) = -7*t - 1. Let d be u(-1). Let b(y) = -5*y**3 + y. Let f be b(1). Let j be (-2696)/d - f/(-6). What is j rounded to the nearest 100?,-500
0.1,"Let p(n) = -n**2 + 6*n - 6. Let r be p(6). Let q(f) = -f**3 - 6*f**2 - 2*f - 8. Let l be q(r). Solve l*m = 4*c + 8, -4*c - 4 = -5*m + 2 for c.",-4
0.1,What is the third root of 1154 to the nearest integer?,10
0.1,What is the square root of 873 to the nearest integer?,30
0.1,Calculate prob of picking 1 i and 1 e when two letters picked without replacement from eoesi.,1/5
0.1,Let s = 172/825 + -2/75. Which is greater: s or -2/9?,s
0.1,Let z be (-7031 + 1)/((-54)/6). Let r = 1947148/2493 - z. Let j = 8177/2216 + r. Find the common denominator of 91/8 and j.,8
0.1,How many nanograms are there in 25/2 of a microgram?,12500
0.1,Is 79271 prime?,False
0.1,Is 16619 a prime number?,True
0.1,What is the square root of 16814 to the nearest integer?,130
0.1,Calculate prob of picking 1 s and 1 v when two letters picked without replacement from dnvngiidsgvd.,1/33
0.1,Let c(r) = r - 9 - 5*r + 12 - r**2. Calculate c(-6).,-9
0.1,What is the remainder when 258 is divided by 76?,30
0.1,How many minutes are there in one quarter of a week?,2520
0.1,Collect the terms in 157*w + 1 - 1 - 3.,157*w - 3
0.1,Two letters picked without replacement from pypyqqyyjnpm. What is prob of picking 1 q and 1 y?,4/33
0.1,What is the ten thousands digit of 23554?,2
0.1,Let c(i) = -i**2 + 6*i - 5. Let a(v) = -v**3 + 6*v**2 + 8*v - 5. Let f be a(7). Let k be 6*f/(-4) + 9. What is c(k)?,-5
0.1,Suppose 2*p + 5 = 7*p. Let w(t) = -t. Let o(v) = 4 - 5*v. Let q(y) = p*w(y) - o(y). What is the derivative of q(r) wrt r?,4
0.1,Let f(z) = 16*z**6 - 2*z**2 + 6*z - 6. Let j(c) = 48*c**6 - 6*c**2 + 17*c - 17. Let p(h) = 17*f(h) - 6*j(h). Find the third derivative of p(x) wrt x.,-1920*x**3
0.1,Let y(x) be the second derivative of x**5/60 - x**4/24 - x**2 + 4*x. Let q(s) be the first derivative of y(s). Calculate q(0).,0
0.1,Let y = 3 + -3. Let v = y - -1. Let r(b) = 6*b**3 - 1. Let z be r(v). Is z greater than or equal to 5?,True
0.1,Solve -n + 2 + 2 = 0 for n.,4
0.1,Let f = -116 - -37. Let l = f + 710/9. Is l >= 0?,False
0.1,"What comes next: -88, -80, -70, -58, -44?",-28
0.1,Let s(c) = -8*c**2 - 12*c - 8. Let z(r) = -r**2 - r - 1. Let p = 6 + -7. Let y(b) = p*s(b) + 12*z(b). What is the first derivative of y(l) wrt l?,-8*l
0.1,Calculate -4 + (-4)/(-3)*-3.,-8
0.1,Solve 17*s - 66 = 19 for s.,5
0.1,What is 7/4 of a millimeter in micrometers?,1750
0.1,Let m(p) = -5*p**3 + 8*p**2 + 2. Let s(l) = 6*l**3 - 9*l**2 - 2. Let i(b) = -5*m(b) - 4*s(b). Determine i(3).,-11
0.1,"Calculate prob of picking 2 c, 1 f and 1 r when four letters picked without replacement from {r: 6, e: 1, d: 8, f: 1, c: 2}.",1/510
0.1,Let k(w) = -3*w**3 - 13*w**2 + 6*w - 6. Let l(x) = x**3 + x**2 - x + 1. Let g(a) = -k(a) - 6*l(a). Find the third derivative of g(h) wrt h.,-18
0.1,Solve 2*d + 36 = 40 for d.,2
0.1,Let l(v) = -v**2 + 10*v - 5. Let r be l(7). Suppose -3*u - 5 + 2 = 0. Let c = u + 5. What is the highest common divisor of r and c?,4
0.1,Let g = -1.3 + 0.7. Let c = -12.5 + 12. Let r = c - g. Is 1 at most r?,False
0.1,"What is the next term in -36, -42, -36, -12, 36, 114, 228?",384
0.1,Is 22807 a composite number?,False
0.1,Let g = 4.35 - 7.618. Let u = 3.2 + g. Round u to two decimal places.,-0.07
0.1,"In base 4, what is 10 + -2002?",-1332
0.1,Which is the second biggest value?  (a) 5  (b) -0.06  (c) 0.05  (d) 0.1,d
0.1,Is 30787 composite?,True
0.1,Solve 76*n = -27*n + 206 for n.,2
0.1,"Let f = 16 + -9. Let a be (-2)/4*(f + -7). Suppose -k - 96000 = -o, a*k - 96000 = k - 2*o. Round k to the nearest ten thousand.",-100000
0.1,What is 280/(-224)*(-8)/(-5)?,-2
0.1,Solve 2*z = -z - 15 for z.,-5
0.1,Collect the terms in 0*d**2 - d**2 + 3*d**2.,2*d**2
0.1,Let b = -0.23 - 10.77. Let a = -10.906 - b. Round a to 2 decimal places.,0.09
0.1,Collect the terms in -12*n + 37*n + 86*n.,111*n
0.1,Which is the fourth biggest value?  (a) 2/11  (b) -3/7  (c) -4  (d) -1  (e) 5,d
0.1,Let k(l) = 2*l - 7. Let o(a) = 3*a - 6. Let b(c) = -6*k(c) + 7*o(c). Let v = -1 - -3. What is the smallest common multiple of b(v) and 4?,36
0.1,What is ((-3)/9)/(6/(-36))?,2
0.1,Let k(h) = 721*h**3 - 6*h**2 + 7*h - 6. Let x be k(-6). Round x to the nearest 10000.,-160000
0.1,What is -6 + 10 + -2 + 2/(-2)?,1
0.1,"Let a = -7 + 10. Solve a*h + 3*n + 5 = 7*h, -2*h - 4*n - 14 = 0 for h.",-1
0.1,"Let y = -7 - -12. Suppose 2*t - 249 = -3*n, y*t - t = -2*n + 166. Find the common denominator of 109/6 and 2/(-4*2/n).",12
0.1,Suppose 0*n = 5*n - 20. Suppose 7*h = n*h + 54. What is the highest common factor of 6 and h?,6
0.1,How many grams are there in 9.670101t?,9670101
0.1,"Let q = -146/5 - -29. Suppose 2*c + 2 = 3*v + 2*v, -3*c - 3 = 0. Is q <= v?",True
0.1,Let a = -4472 - -14056. Let j be 261/(-4)*(-2206)/15. Let g = a - j. Calculate the common denominator of -7/8 and g.,40
0.1,Let o = 542903/76 + -69126/19. Let q = o + -3525. What is the common denominator of q and (-94)/12*(-9)/12?,8
0.1,Let x(q) be the first derivative of 5*q**9/3024 - q**6/120 + 4*q**3/3 + 5. Let k(h) be the third derivative of x(h). Find the third derivative of k(a) wrt a.,300*a**2
0.1,"What is next in 539, 539, 541, 545?",551
0.1,Collect the terms in -237*i**3 - 231*i**3 + 475*i**3.,7*i**3
0.1,What is the ninth root of 609 to the nearest integer?,2
0.1,"What is the biggest value in 5, 0.3, -7, 4?",5
0.1,Let o = -44 - -38. Which is greater: 1 or o?,1
0.1,Let t = -81679/11438 + -3/1634. Let v = 0 + -13. What is the common denominator of v and t?,7
0.1,Let n(g) = g - 11. Let u(p) = -p**2 + 12*p + 5. Let v be u(12). Give n(v).,-6
0.1,Collect the terms in 23*a - 24*a + 15*a.,14*a
